ticker,name,sector,industry,comment
A,Agilent Technologies Inc.,Health Care,Diagnostics & Research,
AA,Alcoa Corporation,Materials,Aluminum,
AAL,American Airlines Group Inc.,Industrials,Airlines,
AAPL,Apple Inc.,Information Technology,Consumer Electronics,
ABBV,AbbVie Inc.,Health Care,Drug Manufacturers - General,
ABNB,Airbnb Inc.,Consumer Discretionary,Travel Services,
ABT,Abbott Laboratories,Health Care,Medical Devices,
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,
ACN,Accenture plc,Information Technology,Information Technology Services,
ADBE,Adobe Inc.,Information Technology,Software - Infrastructure,
ADI,Analog Devices Inc.,Information Technology,Semiconductors,
ADM,Archer-Daniels-Midland Company,Consumer Staples,Farm Products,
ADP,Automatic Data Processing Inc.,Information Technology,Information Technology Services,
ADSK,Autodesk,Information Technology,Application Software,
AEE,Ameren,Utilities,Multi-Utilities,
AEP,American Electric Power Co.,Utilities,Utilities - Regulated Electric,
AES,The AES Corporation,Utilities,Utilities - Diversified,
AFL,Aflac Inc.,Financials,Insurance - Life,
AIG,American International Group Inc.,Financials,Insurance - Diversified,
AIZ,Assurant,Financials,Multi-line Insurance,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,
AKAM,Akamai Technologies Inc.,Information Technology,Software - Infrastructure,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,
ALGN,Align Technology,Health Care,Health Care Supplies,
ALL,Allstate Corporation,Financials,Insurance - Property & Casualty,
ALLE,Allegion,Industrials,Building Products,
ALLY,Ally Financial Inc.,Financials,Banks - Diversified,
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,
AMCR,Amcor plc,Materials,Packaging & Containers,
AMD,Advanced Micro Devices Inc.,Information Technology,Semiconductors,
AME,AMETEK Inc.,Industrials,Specialty Industrial Machinery,
AMGN,Amgen Inc.,Health Care,Drug Manufacturers - General,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,
AMT,American Tower Corporation,Real Estate,REIT - Specialty,
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet Retail,
ANET,Arista Networks Inc.,Information Technology,Computer Hardware,
AON,Aon plc,Financials,Insurance Brokers,
AOS,A. O. Smith,Industrials,Building Products,
APA,APA Corporation,Energy,Oil & Gas E&P,
APD,Air Products and Chemicals Inc.,Materials,Specialty Chemicals,
APH,Amphenol Corporation,Information Technology,Electronic Components,
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,
APP,AppLovin,Information Technology,Application Software,
APTV,Aptiv plc,Consumer Discretionary,Auto Parts,
ARE,Alexandria Real Estate Equities Inc.,Real Estate,REIT - Office,
ARES,Ares Management,Financials,Asset Management & Custody Banks,
ATI,ATI Inc.,Materials,Steel,
ATO,Atmos Energy,Utilities,Gas Utilities,
AVB,AvalonBay Communities Inc.,Real Estate,REIT - Residential,
AVGO,Broadcom Inc.,Information Technology,Semiconductors,
AVY,Avery Dennison Corporation,Materials,Packaging & Containers,
AWK,American Water Works Company Inc.,Utilities,Utilities - Regulated Water,
AXON,Axon Enterprise Inc.,Industrials,Aerospace & Defense,
AXP,American Express Company,Financials,Credit Services,
AZO,AutoZone Inc.,Consumer Discretionary,Specialty Retail,
BA,The Boeing Company,Industrials,Aerospace & Defense,
BAC,Bank of America Corporation,Financials,Banks - Diversified,
BALL,Ball Corporation,Materials,Packaging & Containers,Previous symbol BLL
BAX,Baxter International Inc.,Health Care,Medical Devices,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,
BDX,Becton Dickinson and Company,Health Care,Medical Devices,
BEN,Franklin Resources Inc.,Financials,Asset Management,
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,
BG,Bunge Limited,Consumer Staples,Farm Products,
BIIB,Biogen,Health Care,Biotechnology,
BK,BNY Mellon,Financials,Asset Management & Custody Banks,
BKNG,Booking Holdings Inc.,Consumer Discretionary,Travel Services,
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,
BLDR,Builders FirstSource,Industrials,Building Products,
BLK,BlackRock Inc.,Financials,Asset Management,
BMY,Bristol-Myers Squibb Company,Health Care,Drug Manufacturers - General,
BR,Broadridge Financial Solutions Inc.,Information Technology,Information Technology Services,
BRK.B,Berkshire Hathaway Inc.,Financials,Insurance - Diversified,
BRO,Brown & Brown,Financials,Insurance Brokers,
BSX,Boston Scientific Corporation,Health Care,Medical Devices,
BWA,BorgWarner Inc.,Consumer Discretionary,Auto Parts,
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,
BXP,Boston Properties Inc.,Real Estate,REIT - Office,
C,Citigroup Inc.,Financials,Banks - Diversified,
CAG,Conagra Brands Inc.,Consumer Staples,Packaged Foods,
CAH,Cardinal Health Inc.,Health Care,Medical Distribution,
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,
CB,Chubb Limited,Financials,Insurance - Property & Casualty,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,
CBRE,CBRE Group Inc.,Real Estate,Real Estate Services,
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,
CCL,Carnival Corporation,Consumer Discretionary,Travel Services,
CDNS,Cadence Design Systems Inc.,Information Technology,Software - Infrastructure,
CDW,CDW Corporation,Information Technology,Computer Hardware,
CE,Celanese Corporation,Materials,Specialty Chemicals,
CEG,Constellation Energy,Utilities,Electric Utilities,
CF,CF Industries Holdings Inc.,Materials,Agricultural Inputs,
CFG,Citizens Financial Group Inc.,Financials,Banks - Regional,
CHD,Church & Dwight Co. Inc.,Consumer Staples,Household & Personal Products,
CHRW,C.H. Robinson Worldwide Inc.,Industrials,Integrated Freight & Logistics,
CHTR,Charter Communications Inc.,Communication Services,Telecom Services,
CI,The Cigna Group,Health Care,Healthcare Plans,
CIEN,Ciena,Information Technology,Communications Equipment,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,
CL,Colgate-Palmolive Company,Consumer Staples,Household & Personal Products,
CLX,The Clorox Company,Consumer Staples,Household & Personal Products,
CMCSA,Comcast Corporation,Communication Services,Entertainment,
CME,CME Group Inc.,Financials,Financial Data & Stock Exchanges,
CMG,Chipotle Mexican Grill Inc.,Consumer Discretionary,Restaurants,
CMI,Cummins Inc.,Industrials,Farm & Heavy Construction Machinery,
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,
CNC,Centene Corporation,Health Care,Healthcare Plans,
CNP,CenterPoint Energy Inc.,Utilities,Utilities - Regulated Gas,
COF,Capital One Financial Corporation,Financials,Banks - Diversified,
COIN,Coinbase,Financials,Financial Exchanges & Data,
COO,Cooper Companies (The),Health Care,Health Care Supplies,
COP,ConocoPhillips,Energy,Oil & Gas E&P,
COR,Cencora,Health Care,Health Care Distributors,
COST,Costco Wholesale Corporation,Consumer Staples,Discount Stores,
CPAY,Corpay,Financials,Transaction & Payment Processing Services,
