group_name,ticker,description
FANG,META,Original FANG stocks
FANG,AMZN,Original FANG stocks
FANG,NFLX,Original FANG stocks
FANG,GOOGL,Original FANG stocks
FAANG,META,FAANG including Apple
FAANG,AAPL,FAANG including Apple
FAANG,AMZN,FAANG including Apple
FAANG,NFLX,FAANG including Apple
FAANG,GOOGL,FAANG including Apple
MAG7,AAPL,Magnificent Seven tech giants
MAG7,MSFT,Magnificent Seven tech giants
MAG7,GOOGL,Magnificent Seven tech giants
MAG7,AMZN,Magnificent Seven tech giants
MAG7,META,Magnificent Seven tech giants
MAG7,NVDA,Magnificent Seven tech giants
MAG7,TSLA,Magnificent Seven tech giants
SEMICONDUCTORS,NVDA,Semiconductor companies
SEMICONDUCTORS,AMD,Semiconductor companies
SEMICONDUCTORS,INTC,Semiconductor companies
SEMICONDUCTORS,AVGO,Semiconductor companies
SEMICONDUCTORS,QCOM,Semiconductor companies
SEMICONDUCTORS,TXN,Semiconductor companies
SEMICONDUCTORS,MU,Semiconductor companies
SEMICONDUCTORS,AMAT,Semiconductor companies
SEMICONDUCTORS,LRCX,Semiconductor companies
SEMICONDUCTORS,KLAC,Semiconductor companies
SEMICONDUCTORS,ADI,Semiconductor companies
SEMICONDUCTORS,MRVL,Semiconductor companies
SEMICONDUCTORS,SWKS,Semiconductor companies
SEMICONDUCTORS,QRVO,Semiconductor companies
SEMICONDUCTORS,MPWR,Semiconductor companies
SEMICONDUCTORS,ON,Semiconductor companies
SEMICONDUCTORS,MCHP,Semiconductor companies
SEMICONDUCTORS,NXPI,Semiconductor companies
CHIPS,NVDA,Chip makers (alias for SEMICONDUCTORS)
CHIPS,AMD,Chip makers (alias for SEMICONDUCTORS)
CHIPS,INTC,Chip makers (alias for SEMICONDUCTORS)
CHIPS,AVGO,Chip makers (alias for SEMICONDUCTORS)
CHIPS,QCOM,Chip makers (alias for SEMICONDUCTORS)
CHIPS,TXN,Chip makers (alias for SEMICONDUCTORS)
CHIPS,MU,Chip makers (alias for SEMICONDUCTORS)
CHIPS,MRVL,Chip makers (alias for SEMICONDUCTORS)
AUTO,TSLA,Automobile manufacturers (autos)
AUTO,F,Automobile manufacturers (autos)
AUTO,GM,Automobile manufacturers (autos)
AUTO,TM,Automobile manufacturers (autos)
AUTO,HMC,Automobile manufacturers (autos)
AUTO,STLA,Automobile manufacturers (autos)
AUTOMOTIVE,TSLA,Automobile manufacturers (alias) (autos)
AUTOMOTIVE,F,Automobile manufacturers (alias) (autos)
AUTOMOTIVE,GM,Automobile manufacturers (alias) (autos)
AUTOMOTIVE,TM,Automobile manufacturers (alias) (autos)
AUTOMOTIVE,HMC,Automobile manufacturers (alias) (autos)
AUTOMOTIVE,STLA,Automobile manufacturers (alias) (autos)
BANKS,JPM,Major US banks (diversified + regional)
BANKS,BAC,Major US banks (diversified + regional)
BANKS,WFC,Major US banks (diversified + regional)
BANKS,C,Major US banks (diversified + regional)
BANKS,GS,Major US banks (diversified + regional)
BANKS,MS,Major US banks (diversified + regional)
BANKS,USB,Major US banks (diversified + regional)
BANKS,PNC,Major US banks (diversified + regional)
BANKS,COF,Major US banks (diversified + regional)
BANKS,TFC,Major US banks (diversified + regional)
BANKS,FITB,Major US banks (diversified + regional)
BANKS,HBAN,Major US banks (diversified + regional)
BANKS,RF,Major US banks (diversified + regional)
BANKS,CFG,Major US banks (diversified + regional)
BANKS,KEY,Major US banks (diversified + regional)
BANKS,MTB,Major US banks (diversified + regional)
REGIONAL_BANKS,USB,Regional US banks
REGIONAL_BANKS,PNC,Regional US banks
REGIONAL_BANKS,COF,Regional US banks
REGIONAL_BANKS,TFC,Regional US banks
REGIONAL_BANKS,FITB,Regional US banks
REGIONAL_BANKS,HBAN,Regional US banks
REGIONAL_BANKS,RF,Regional US banks
REGIONAL_BANKS,CFG,Regional US banks
REGIONAL_BANKS,KEY,Regional US banks
REGIONAL_BANKS,MTB,Regional US banks
PAYMENTS,V,Payment processors
PAYMENTS,MA,Payment processors
PAYMENTS,PYPL,Payment processors
PAYMENTS,AXP,Payment processors
BIG_TECH,AAPL,Big technology companies
BIG_TECH,MSFT,Big technology companies
BIG_TECH,GOOGL,Big technology companies
BIG_TECH,AMZN,Big technology companies
BIG_TECH,META,Big technology companies
HEALTHCARE,JNJ,Major healthcare companies
HEALTHCARE,UNH,Major healthcare companies
HEALTHCARE,PFE,Major healthcare companies
HEALTHCARE,MRK,Major healthcare companies
HEALTHCARE,LLY,Major healthcare companies
HEALTHCARE,TMO,Major healthcare companies
HEALTHCARE,ABT,Major healthcare companies
HEALTHCARE,ABBV,Major healthcare companies
HEALTHCARE,DHR,Major healthcare companies
HEALTHCARE,BSX,Major healthcare companies
